Number of Peers;P2P Algorithm;Total Duration [s];Total Received Bytes;Minimum Transfer Time Error Rate [%];Average Transfer Time Error Rate [%];Maximum Transfer Time Error Rate [%];Same PDF File;Maximum Connection Time [s];Minimum Connection Time [s];Average Connection Time [s];Maximum Transfer Time [s];Minimum Transfer Time [s];Average Transfer Time [s];Maximum Total Time [s];Minimum Total Time [s];Average Total Time [s];Maximum Latency Error Rate [%];Minimum Latency Error Rate [%];Average Latency Error Rate [%];Maximum Bandwidth Error Rate [%];Minimum Bandwidth Error Rate [%];Average Bandwidth Error Rate [%];Smallest Bandwidth [Kbps]
20;USED;204.86;32095088;0.72;0.85;1.06;TRUE;70.41;0.12;44.56;131.76;23.77;75.87;202.07;65.06;120.44;1.43;0.35;0.72;1.87;0.99;1.36;1964
20;NOT USED;191.17;32095088;0.72;0.73;0.77;TRUE;0.16;0.11;0.13;185.48;185.39;185.41;185.61;185.51;185.54;6.79;1.35;3.83;2.51;1.08;2.08;1395
20;USED;204.61;32095088;0.73;0.83;1.08;TRUE;70.56;0.11;44.77;131.71;23.78;75.86;201.81;65.03;120.64;10.26;0.84;3.85;2.16;0.99;1.49;1964
20;NOT USED;393.23;67108864;0.71;0.71;0.75;TRUE;0.15;0.11;0.12;387.74;387.59;387.61;387.89;387.70;387.74;6.22;1.95;3.92;2.51;1.79;2.15;1395
20;NOT USED;397.11;67108864;0.71;0.78;2.14;TRUE;0.15;0.12;0.13;393.11;387.58;387.88;393.27;387.72;388.02;1.54;0.80;1.10;1.79;1.08;1.76;1395
20;USED;418.62;67108864;0.71;0.77;0.89;TRUE;140.73;0.11;89.77;275.32;49.63;158.56;415.22;135.82;248.33;1.42;0.35;0.72;1.87;0.99;1.36;1964
20;USED;418.43;67108864;0.71;0.77;0.96;TRUE;141.00;0.11;90.22;275.33;49.66;158.56;416.09;135.80;248.78;7.79;1.24;4.02;2.31;0.99;1.62;1964
20;NOT USED;397.11;67108864;0.71;0.78;2.14;TRUE;0.15;0.12;0.13;393.11;387.58;387.88;393.27;387.72;388.02;1.54;0.80;1.10;1.79;1.08;1.76;1395
20;NOT USED;790.46;134217728;0.70;0.78;2.29;TRUE;0.15;0.12;0.13;787.39;775.13;775.77;787.54;775.25;775.91;1.54;0.80;1.09;1.79;1.08;1.76;1395
20;USED;831.35;134217728;0.70;0.77;1.18;TRUE;277.29;0.10;178.93;550.74;99.54;317.10;827.89;271.43;496.03;8.38;1.15;4.08;2.24;1.02;1.67;1964
